0,0
0.097,0.0679
0.1939,0.2573
0.2909,0.5408
0.3878,0.8849
0.4848,1.2534
0.5817,1.6115
0.6787,1.9282
0.7756,2.1788
0.8726,2.3469
0.9695,2.4248
1.0665,2.4134
1.1634,2.3216
1.2604,2.1647
1.3573,1.9624
1.4543,1.7367
1.5512,1.5098
1.6482,1.3019
1.7451,1.13
1.8421,1.0062
1.939,0.9373
2.036,0.9245
2.1329,0.9642
2.2299,1.0481
2.3268,1.1649
2.4238,1.3013
2.5207,1.4433
2.6177,1.578
2.7146,1.6938
2.8116,1.7822
2.9085,1.8376
3.0055,1.8581
3.1024,1.8449
3.1994,1.8021
3.2963,1.7362
3.3933,1.655
3.4902,1.5672
3.5872,1.4811
3.6841,1.4042
3.7811,1.3427
3.878,1.3006
3.975,1.2799
4.0719,1.2807
4.1689,1.301
4.2658,1.3372
4.3628,1.3847
4.4597,1.4383
4.5567,1.4927
4.6536,1.543
4.7506,1.585
4.8475,1.6157
4.9445,1.6334
5.0414,1.6377
5.1384,1.6294
5.2354,1.6102
5.3323,1.5829
5.4293,1.5506
5.5262,1.5167
5.6232,1.4842
5.7201,1.4561
5.8171,1.4343
5.914,1.4202
6.011,1.4146
6.1079,1.417
6.2049,1.4266
6.3018,1.4419
6.3988,1.4611
6.4957,1.482
6.5927,1.5027
6.6896,1.5213
6.7866,1.5364
6.8835,1.5469
6.9805,1.5523
7.0774,1.5526
7.1744,1.5482
7.2713,1.5398
7.3683,1.5287
7.4652,1.516
7.5622,1.5029
7.6591,1.4908
7.7561,1.4805
7.853,1.4729
7.95,1.4684
8.0469,1.4671
8.1439,1.4688
8.2408,1.4732
8.3378,1.4795
8.4347,1.4872
8.5317,1.4953
8.6286,1.5031
8.7256,1.5099
8.8225,1.5153
8.9195,1.5188
9.0164,1.5204
9.1134,1.52
9.2103,1.5178
9.3073,1.5143
9.4042,1.5098
9.5012,1.5048
9.5981,1.4998
9.6951,1.4953
9.792,1.4916
9.889,1.489
9.9859,1.4876
10.0829,1.4874
10.1798,1.4884
10.2768,1.4903
10.3738,1.4929
10.4707,1.4959
10.5677,1.499
10.6646,1.5019
10.7616,1.5044
10.8585,1.5063
10.9555,1.5075
11.0524,1.5079
11.1494,1.5075
11.2463,1.5065
11.3433,1.505
11.4402,1.5032
11.5372,1.5013
11.6341,1.4994
11.7311,1.4978
11.828,1.4965
11.925,1.4956
12.0219,1.4952
12.1189,1.4952
12.2158,1.4957
